adminLevel,country,date,iso3,name,new_cases,new_deaths,total_cases,total_deaths,lat,lon
1,"France","2020-04-13","FRA","Auvergne-Rhône-Alpes",30,21,3055,794,45.75919,4.82966
1,"France","2020-04-13","FRA","Hauts-de-France",41,33,2525,873,50.6282,3.06881
1,"France","2020-04-13","FRA","Provence-Alpes-Côte d'Azur",29,20,1859,348,43.29337,5.37132
1,"France","2020-04-13","FRA","Grand Est",41,41,4928,2105,48.58504,7.73642
1,"France","2020-04-13","FRA","Occitanie",20,9,974,248,43.60579,1.44863
1,"France","2020-04-13","FRA","Normandie",-3,10,713,211,49.44014,1.0894
1,"France","2020-04-13","FRA","Nouvelle-Aquitaine",25,4,857,194,44.8367,-0.58107
1,"France","2020-04-13","FRA","Centre-Val de Loire",40,13,983,214,47.90143,1.90498
1,"France","2020-04-13","FRA","Bourgogne-Franche-Comté",15,12,1309,512,47.32698,5.04299
1,"France","2020-04-13","FRA","Bretagne",0,4,510,136,48.10804,-1.68449
1,"France","2020-04-13","FRA","Corse",1,2,75,38,41.91719,8.73444
1,"France","2020-04-13","FRA","Pays de la Loire",13,10,823,192,47.21811,-1.55306
1,"France","2020-04-13","FRA","Ile-de-France",31,156,13196,3704,48.85717,2.3414
1,"France","2020-04-13","GLP","Guadeloupe",3,0,41,10,16.24089,-61.53528
1,"France","2020-04-13","MTQ","Martinique",1,0,39,6,14.60623,-61.06268
1,"France","2020-04-13","GUF","Guyane",0,0,15,0,4.94173,-52.32089
1,"France","2020-04-13","REU","La Réunion",0,0,28,0,-20.89266,55.47104
1,"France","2020-04-13","MYT","Mayotte",0,0,22,3,-12.82061,45.14785
1,"France","2020-04-12","FRA","Auvergne-Rhône-Alpes",40,18,3025,773,45.75919,4.82966
1,"France","2020-04-12","FRA","Hauts-de-France",40,34,2484,840,50.6282,3.06881
1,"France","2020-04-12","FRA","Provence-Alpes-Côte d'Azur",64,11,1830,328,43.29337,5.37132
1,"France","2020-04-12","FRA","Grand Est",46,56,4887,2064,48.58504,7.73642
1,"France","2020-04-12","FRA","Occitanie",36,6,954,239,43.60579,1.44863
1,"France","2020-04-12","FRA","Normandie",-10,5,716,201,49.44014,1.0894
1,"France","2020-04-12","FRA","Nouvelle-Aquitaine",17,10,832,190,44.8367,-0.58107
1,"France","2020-04-12","FRA","Centre-Val de Loire",21,8,943,201,47.90143,1.90498
1,"France","2020-04-12","FRA","Bourgogne-Franche-Comté",55,22,1294,500,47.32698,5.04299
1,"France","2020-04-12","FRA","Bretagne",23,3,510,132,48.10804,-1.68449
1,"France","2020-04-12","FRA","Corse",-2,0,74,36,41.91719,8.73444
1,"France","2020-04-12","FRA","Pays de la Loire",32,4,810,182,47.21811,-1.55306
1,"France","2020-04-12","FRA","Ile-de-France",140,132,13165,3548,48.85717,2.3414
1,"France","2020-04-12","GLP","Guadeloupe",1,0,38,10,16.24089,-61.53528
1,"France","2020-04-12","MTQ","Martinique",-3,1,38,6,14.60623,-61.06268
1,"France","2020-04-12","GUF","Guyane",6,0,15,0,4.94173,-52.32089
1,"France","2020-04-12","REU","La Réunion",-2,0,28,0,-20.89266,55.47104
1,"France","2020-04-12","MYT","Mayotte",2,0,22,3,-12.82061,45.14785
1,"France","2020-04-11","FRA","Auvergne-Rhône-Alpes",35,34,2985,755,45.75919,4.82966
1,"France","2020-04-11","FRA","Hauts-de-France",-12,44,2444,806,50.6282,3.06881
1,"France","2020-04-11","FRA","Provence-Alpes-Côte d'Azur",-38,18,1766,317,43.29337,5.37132
1,"France","2020-04-11","FRA","Grand Est",-58,56,4841,2008,48.58504,7.73642
1,"France","2020-04-11","FRA","Occitanie",-40,11,918,233,43.60579,1.44863
1,"France","2020-04-11","FRA","Normandie",-15,8,726,196,49.44014,1.0894
1,"France","2020-04-11","FRA","Nouvelle-Aquitaine",40,6,815,180,44.8367,-0.58107
1,"France","2020-04-11","FRA","Centre-Val de Loire",28,14,922,193,47.90143,1.90498
1,"France","2020-04-11","FRA","Bourgogne-Franche-Comté",-43,19,1239,478,47.32698,5.04299
1,"France","2020-04-11","FRA","Bretagne",-3,8,487,129,48.10804,-1.68449
1,"France","2020-04-11","FRA","Corse",-2,1,76,36,41.91719,8.73444
1,"France","2020-04-11","FRA","Pays de la Loire",6,9,778,178,47.21811,-1.55306
1,"France","2020-04-11","FRA","Ile-de-France",164,116,13025,3416,48.85717,2.3414
1,"France","2020-04-11","GLP","Guadeloupe",4,0,37,10,16.24089,-61.53528
1,"France","2020-04-11","MTQ","Martinique",-3,0,41,5,14.60623,-61.06268
1,"France","2020-04-11","GUF","Guyane",0,0,9,0,4.94173,-52.32089
1,"France","2020-04-11","REU","La Réunion",-12,0,30,0,-20.89266,55.47104
1,"France","2020-04-11","MYT","Mayotte",0,1,20,3,-12.82061,45.14785
1,"France","2020-04-10","FRA","Auvergne-Rhône-Alpes",-12,36,2950,721,45.75919,4.82966
1,"France","2020-04-10","FRA","Hauts-de-France",27,47,2456,762,50.6282,3.06881
1,"France","2020-04-10","FRA","Provence-Alpes-Côte d'Azur",56,13,1804,299,43.29337,5.37132
1,"France","2020-04-10","FRA","Grand Est",130,98,4899,1952,48.58504,7.73642
1,"France","2020-04-10","FRA","Occitanie",-34,19,958,222,43.60579,1.44863
1,"France","2020-04-10","FRA","Normandie",44,9,741,188,49.44014,1.0894
